날짜,요일,식사구분,메뉴번호,메뉴명,음식분류,칼로리(kcal),단백질(g),지방(g),탄수화물(g),나트륨(mg),당류(g),식이섬유(g),콜레스테롤(mg),포화지방(g),원산지,보관방법,알레르기유발물질,비고
2026-01-01,목,조식,1,팥밥,주식,338,5,21.4,31.4,897,13.2,1.2,72,3.7,호주산,상온보관,"우유,계란",신정 특별식
2026-01-01,목,조식,2,삼계탕국물,국/찌개,108,5.4,9.5,5,567,7.2,3.1,88,1,국내산,상온보관,우유,신정 특별식
2026-01-01,목,조식,3,삼겹살구이,주찬,253,8.7,17.2,15.9,256,1.1,2.7,17,4.8,국내산,냉장보관,"난류,밀,대두",신정 특별식
2026-01-01,목,조식,4,상추무침,부찬,59,6.5,5.6,5,697,12.6,3.5,41,5.6,국내산,상온보관,"대두,밀",신정 특별식
2026-01-01,목,조식,5,두부부침,부찬,65,31.4,18.8,5,617,12.1,5.9,0,7.7,중국산,상온보관,우유,신정 특별식
2026-01-01,목,조식,6,오이소박이,김치류,22,17.8,20.6,5,628,12.9,6,113,3.8,국내산,냉장보관,대두,신정 특별식
2026-01-01,목,조식,7,깍두기,김치류,-3,6.2,22.4,5,265,6.8,4.9,4,7,국내산,냉장보관,"난류,대두,밀,새우",신정 특별식
2026-01-01,목,조식,8,과일(수박),후식/음료,102,6.2,10.7,5,794,3.3,5,65,3.1,국내산,상온보관,우유,신정 특별식
2026-01-01,목,중식,1,현미밥,주식,337,13.1,12.5,43,373,14.9,2.6,65,5.3,중국산,상온보관,"밀,계란,대두",신정 특별식
2026-01-01,목,중식,2,된장찌개,국/찌개,67,8.7,17.7,5,213,9.9,4.4,96,4.5,국내산,냉동보관,없음,신정 특별식
2026-01-01,목,중식,3,생선까스,주찬,220,18,16.5,5,532,4.5,5.1,1,4.3,국내산,상온보관,"난류,대두,밀,새우",신정 특별식
2026-01-01,목,중식,4,숙주나물,부찬,35,9.7,6.2,5,872,1.3,2.9,119,4.6,호주산,냉동보관,"우유,계란",신정 특별식
2026-01-01,목,중식,5,어묵조림,부찬,107,15.3,24,5,557,13.6,4.6,9,5.1,중국산,상온보관,없음,신정 특별식
2026-01-01,목,중식,6,석박지,김치류,7,19.1,7.5,5,365,14.2,2.1,95,3.8,국내산,상온보관,없음,신정 특별식
2026-01-01,목,중식,7,총각김치,김치류,17,21.9,9,5,514,1.5,2.7,81,7.2,호주산,상온보관,"계란,밀",신정 특별식
2026-01-01,목,중식,8,푸딩,후식/음료,115,32.5,10,5,241,5.1,3.6,5,1.6,국내산,냉동보관,없음,신정 특별식
2026-01-01,목,석식,1,쌀밥,주식,321,32.5,10.8,23.4,716,4.3,1.8,45,7.7,미국산,냉장보관,"우유,계란",신정 특별식
2026-01-01,목,석식,2,감자국,국/찌개,56,30.2,22.2,5,199,5.8,4.3,50,1.3,국내산,냉장보관,"계란,밀",신정 특별식
2026-01-01,목,석식,3,고등어조림,주찬,267,24.8,4.7,31.4,854,9.4,5,69,6.7,국내산,냉장보관,"계란,밀",신정 특별식
2026-01-01,목,석식,4,파프리카무침,부찬,67,33.6,21.5,5,776,14,4.5,84,7.5,미국산,상온보관,"밀,계란,대두",신정 특별식
2026-01-01,목,석식,5,감자조림,부찬,81,26,8.3,5,900,14,3.9,83,3.2,국내산,냉동보관,우유,신정 특별식
2026-01-01,목,석식,6,파김치,김치류,32,32.8,12.2,5,669,8.8,5.4,94,3.9,국내산,냉장보관,대두,신정 특별식
2026-01-01,목,석식,7,파김치,김치류,-5,18.5,6.2,5,186,8.4,3.9,53,6.2,중국산,냉장보관,"밀,대두,새우",신정 특별식
2026-01-01,목,석식,8,우유,후식/음료,117,18,20,5,899,3.2,3.4,7,2.9,미국산,냉장보관,"난류,밀,대두",신정 특별식
2026-01-02,금,조식,1,찰밥,주식,359,20.2,19.4,25.9,192,5.7,5.7,6,1.7,국내산,상온보관,대두,
2026-01-02,금,조식,2,삼계탕국물,국/찌개,66,23.9,19.7,5,336,12.4,2.3,50,7.3,국내산,상온보관,"난류,밀,대두",
2026-01-02,금,조식,3,계란말이,주찬,237,21.8,20.8,5,476,7.3,5.3,81,0.7,국내산,상온보관,우유,
2026-01-02,금,조식,4,양배추무침,부찬,38,6.9,24.3,5,802,2.8,4.7,106,6.8,국내산,상온보관,우유,
2026-01-02,금,조식,5,콩조림,부찬,97,16.7,13.5,5,735,13.4,1.5,75,4.7,국내산,냉장보관,"난류,밀,대두",
2026-01-02,금,조식,6,보쌈김치,김치류,6,15.1,22.8,5,600,4.1,1.7,57,1.9,호주산,상온보관,"우유,계란",
2026-01-02,금,조식,7,파김치,김치류,-11,6.5,3.4,5,564,14.3,4.9,81,7.4,국내산,냉장보관,대두,
2026-01-02,금,조식,8,과일(오렌지),후식/음료,90,8.1,20.8,5,177,11.5,2.5,108,1,국내산,상온보관,"계란,밀",
2026-01-02,금,중식,1,오곡밥,주식,321,27.6,7.8,35.1,269,2.8,3.3,84,5.1,국내산,상온보관,"계란,밀",
2026-01-02,금,중식,2,삼계탕국물,국/찌개,96,15.4,18.1,5,621,4.7,5.4,69,6.6,중국산,냉장보관,"우유,계란",
2026-01-02,금,중식,3,꽁치조림,주찬,221,8.1,24.4,5,680,2.7,3.4,34,5.7,중국산,상온보관,"밀,대두,새우",
2026-01-02,금,중식,4,취나물,부찬,86,28.8,21.5,5,849,13.1,1.7,9,4.3,국내산,상온보관,"계란,밀",
2026-01-02,금,중식,5,연근조림,부찬,102,34.2,12.8,5,309,8.8,1.5,106,4.3,국내산,상온보관,"계란,밀",
2026-01-02,금,중식,6,갓김치,김치류,13,30.2,21.1,5,645,14.5,3.1,76,4.6,미국산,상온보관,없음,
2026-01-02,금,중식,7,백김치,김치류,42,24,21.4,5,780,5.8,3,86,4,국내산,냉장보관,없음,
2026-01-02,금,중식,8,과일(수박),후식/음료,95,27.6,22.2,5,205,7.4,1.1,51,6,국내산,냉동보관,없음,
2026-01-02,금,석식,1,흑미밥,주식,348,6.4,4.1,71.4,887,4.4,5.2,76,5.9,국내산,냉동보관,"밀,계란,대두",금요특식
2026-01-02,금,석식,2,황태해장국,국/찌개,50,5.5,23,5,317,3.2,4.7,23,5.4,국내산,냉장보관,"난류,대두,밀,새우",금요특식
2026-01-02,금,석식,3,생선까스,주찬,225,21.5,12.7,6.2,724,12,5.8,44,5.6,국내산,냉동보관,없음,금요특식
2026-01-02,금,석식,4,취나물,부찬,65,28.6,21.3,5,737,2,2.1,66,6.2,국내산,냉장보관,"우유,계란",금요특식
2026-01-02,금,석식,5,감자조림,부찬,81,15.1,13.4,5,628,10.9,3.5,101,1.7,중국산,상온보관,"난류,대두,밀,새우",금요특식
2026-01-02,금,석식,6,석박지,김치류,33,15.6,17.2,5,194,14.9,4.9,55,4.7,호주산,상온보관,"우유,계란",금요특식
